city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Devarkonda,16.7,78.9333,India,IN,Telangana,,29731,29731
Bandipura,34.4225,74.6375,India,IN,Jammu and Kashmīr,,27482,27482
Silvassa,20.2666,73.0166,India,IN,Dādra and Nagar Haveli,,27359,27359
Pāmidi,14.95,77.5833,India,IN,Andhra Pradesh,,26886,26886
Narasannapeta,18.4151,84.0447,India,IN,Andhra Pradesh,,26280,26280
Jaynagar-Majilpur,22.1772,88.4258,India,IN,West Bengal,,25922,25922
Khed Brahma,24.0299,73.0463,India,IN,Gujarat,,25001,25001
Khajurāho,24.85,79.9333,India,IN,Madhya Pradesh,,24481,24481
Koilkuntla,15.2333,78.3167,India,IN,Andhra Pradesh,,23859,23859
Diu,20.7197,70.9904,India,IN,Damān and Diu,,23779,23779
Kulgam,33.64,75.02,India,IN,Jammu and Kashmīr,,23584,23584
Gauripur,26.08,89.97,India,IN,Assam,,23477,23477
Abu,24.5925,72.7083,India,IN,Rājasthān,,22943,22943
Curchorem,15.25,74.1,India,IN,Goa,,22730,22730
Kavaratti,10.5626,72.6369,India,IN,Lakshadweep,admin,10688,10688
Panchkula,30.6915,76.8537,India,IN,Haryāna,minor,,
Kagaznāgār,19.3316,79.4661,India,IN,Telangana,minor,,
Amaravathi,16.5131,80.5165,India,IN,Andhra Pradesh,admin,,
Gandhinagar,23.2156,72.6369,India,IN,Gujarat,admin,,
